Name,EP,P1,Away,Home,AvgPointsPerGame,teamAbbrev,Opp.x,ID,Salary,Value.x,Team,Opp.y,Pos,Lineup (?),ML,OU,Value.y,EPRWire,EP_Avg,date,P2,Mins,Lineup,dkp.x,gid,last_first,team,opp,h_a,gameid,gtime_et,team_pts,opp_pts,start,minutes,gp,active,fdp,dkp.y,ddp,yhp,stats,doubled,tripled,fd_sal,fd_change,dk_sal,dk_change,dd_sal,dd_change,yh_sal,yh_change,fd_pos,dk_pos,dd_pos,yh_pos,x35,nn,site,o_team,line,total
Marvin Williams,23.89,PF,Cha,Mia,25.236,Cha,Mia,Marvin Williams (7661766),4800,4.977083333333334,CHA,MIA,PF,NA,-110,198.0,3.74,17.952,20.921,2016-10-28,NA,30,NA,NA,3817,"Williams, Marvin",cha,mia,A,20161028-cha-mia,20.0,97,91,1,33.5333333333333,1,1,26.7,28.25,28.0,27.2,7pt 11rb 1as 2st 1bl 1to 1trey 3-6fg,0,0,5100,100, 4800,100,10650,-1000,21,1,4,4,34,4,NA,Hornets,away,Heat,-1.0,197.0
Goran Dragic,30.8,PG,Cha,Mia,29.355,Mia,Cha,Goran Dragic (7661588),6600,4.666666666666667,MIA,CHA,PG,NA,-100,198.0,3.84,25.344,28.072000000000003,2016-10-28,NA,32,NA,NA,4092,"Dragic, Goran",mia,cha,H,20161028-cha-mia,20.0,91,97,1,33.8333333333333,1,1,30.3,34.0,33.5,31.8,14pt 4rb 9as 1st 4to 3trey 4-12fg 3-3ft,0,0,6800,-100, 6600,-400,13800,-500,30,2,1,1,12,1,NA,Heat,home,Hornets,1.0,197.0
Hassan Whiteside,40.12,C,Cha,Mia,37.663,Mia,Cha,Hassan Whiteside (7661808),8300,4.833734939759036,MIA,CHA,C,NA,-100,198.0,4.99,41.417,40.7685,2016-10-28,NA,31,NA,NA,4324,"Whiteside, Hassan",mia,cha,H,20161028-cha-mia,20.0,91,97,1,26.8166666666667,1,1,38.0,42.25,41.25,38.0,20pt 15rb 2bl 4to 8-11fg 4-7ft,1,0,8500,-200, 8300,-300,17600,-250,41,3,5,5,5,5,NA,Heat,home,Hornets,1.0,197.0
Luke Babbitt,17.08,PF,Cha,Mia,13.606,Mia,Cha,Luke Babbitt (7661767),3100,5.509677419354838,MIA,CHA,PF,NA,-100,198.0,3.14,9.734,13.407,2016-10-28,NA,18,NA,NA,4264,"Babbitt, Luke",mia,cha,H,20161028-cha-mia,20.0,91,97,1,19.8,1,1,9.6,10.75,11.0,10.6,6pt 3rb 2trey 2-5fg,0,0,3500,0, 3100,100, 5000,0,10,0,3,4,3,4,NA,Heat,home,Hornets,1.0,197.0
Josh McRoberts,8.52,C,Cha,Mia,10.524,Mia,Cha,Josh McRoberts (7661806),3200,2.6625,MIA,CHA,C,NA,-100,198.0,2.6,8.32,8.42,2016-10-28,NA,12,NA,NA,4007,"McRoberts, Josh",mia,cha,H,20161028-cha-mia,20.0,91,97,0,0.0,0,1,0.0,0.0,0.0,0.0,NA,0,0,4000,0, 3200,0, 6650,-100,10,0,4,5,45,5,NA,Heat,home,Hornets,1.0,197.0
James Harden,58.94,PG,Hou,Dal,51.951,Hou,Dal,James Harden (7661562),11300,5.215929203539822,HOU,DAL,PG,NA,104,221.0,3.77,42.601,50.7705,2016-10-28,SG,37,NA,NA,4224,"Harden, James",hou,dal,A,20161028-hou-dal,20.5,106,98,1,35.85,1,1,44.4,48.75,48.25,46.4,26pt 7rb 8as 1st 4to 4trey 9-18fg 4-5ft,0,0,11300,100,11300,400,22050,-2400,54,1,2,12,12,1,NA,Rockets,away,Mavericks,-1.0,219.0
James Johnson,14.97,SF,Cha,Mia,10.66,Mia,Cha,James Johnson (7661672),3000,4.99,MIA,CHA,SF,NA,-100,198.0,4.57,13.71,14.34,2016-10-28,PF,19,NA,NA,4168,"Johnson, James",mia,cha,H,20161028-cha-mia,20.0,91,97,0,23.2833333333333,1,1,8.7,10.0,8.5,8.7,0pt 6rb 1as 1bl 2to 0-6fg,0,0,3900,100, 3000,0, 5000,0,10,0,3,34,34,3,NA,Heat,home,Hornets,1.0,197.0
Tyler Johnson,20.14,PG,Cha,Mia,16.561,Mia,Cha,Tyler Johnson (7661558),4300,4.683720930232559,MIA,CHA,PG,NA,-100,198.0,3.92,16.856,18.498,2016-10-28,SG,27,NA,NA,4756,"Johnson, Tyler",mia,cha,H,20161028-cha-mia,20.0,91,97,0,28.8,1,1,18.2,20.0,19.5,19.2,12pt 6rb 1to 2trey 4-10fg 2-2ft,0,0,4600,400, 4300,100, 7650,-250,15,3,1,12,12,1,NA,Heat,home,Hornets,1.0,197.0
Justise Winslow,20.36,SF,Cha,Mia,16.951,Mia,Cha,Justise Winslow (7661713),5100,3.9921568627450976,MIA,CHA,SF,NA,-100,198.0,3.98,20.298,20.329,2016-10-28,NA,33,NA,NA,4787,"Winslow, Justise",mia,cha,H,20161028-cha-mia,20.0,91,97,1,32.0333333333333,1,1,20.7,23.5,21.25,21.2,10pt 6rb 5as 4to 1trey 4-14fg 1-2ft,0,0,4900,200, 5100,100,10350,-50,17,3,3,3,34,3,NA,Heat,home,Hornets,1.0,197.0
Dion Waiters,22.0,SG,Cha,Mia,17.914,Mia,Cha,Dion Waiters (7661653),4100,5.365853658536586,MIA,CHA,SG,NA,-100,198.0,4.47,18.327,20.1635,2016-10-28,NA,33,NA,NA,4515,"Waiters, Dion",mia,cha,H,20161028-cha-mia,20.0,91,97,1,34.1,1,1,24.9,28.25,26.5,26.4,13pt 7rb 3as 1st 3to 3trey 5-16fg 0-2ft,0,0,4500,0, 4100,0, 7950,-50,16,3,2,2,23,2,NA,Heat,home,Hornets,1.0,197.0
Rodney McGruder,10.43,SG,Cha,Mia,0.0,Mia,Cha,Rodney McGruder (7661652),3000,3.4766666666666666,MIA,CHA,SG,NA,-100,198.0,3.06,9.18,9.805,2016-10-28,NA,18,NA,NA,4650,"McGruder, Rodney",mia,cha,H,20161028-cha-mia,20.0,91,97,0,20.25,1,1,14.9,16.5,16.5,16.4,9pt 2rb 1as 1bl 3trey 3-9fg,0,0,3500,0, 3000,0, 5000,0,10,0,2,2,2,2,NA,Heat,home,Hornets,1.0,197.0
D'Angelo Russell,26.05,PG,LAL,Uta,24.7,LAL,Uta,D'Angelo Russell (7661585),6900,3.7753623188405796,LAL,UTA,PG,NA,346,201.0,3.36,23.184,24.617,2016-10-28,NA,32,NA,NA,4799,"Russell, D'Angelo",lal,uta,A,20161028-lal-uta,21.0,89,96,1,31.8833333333333,1,1,22.5,25.25,22.25,23.0,9pt 5rb 5as 2st 4to 1trey 3-14fg 2-5ft,0,0,6400,-100, 6900,-400,13050,-1050,25,4,1,1,1,1,NA,Lakers,away,Jazz,8.5,201.0
Julius Randle,29.29,PF,LAL,Uta,28.639,LAL,Uta,Julius Randle (7661763),6200,4.724193548387097,LAL,UTA,PF,NA,346,201.0,4.49,27.838,28.564,2016-10-28,NA,30,NA,NA,4680,"Randle, Julius",lal,uta,A,20161028-lal-uta,21.0,89,96,1,27.3333333333333,1,1,15.3,17.0,16.5,15.8,7pt 4rb 1as 2bl 2to 1trey 3-7fg,0,0,6400,100, 6200,300, 9950,-2250,27,0,4,4,4,4,NA,Lakers,away,Jazz,8.5,201.0
JaVale McGee,8.26,C,GS,NO,11.222,GS,NO,JaVale McGee (7661818),3000,2.7533333333333334,GSW,NOP,C,NA,-650,221.0,0.85,2.55,5.404999999999999,2016-10-28,NA,5,NA,NA,4114,"McGee, JaVale",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,0.0,0,1,0.0,0.0,0.0,0.0,NA,0,0,3500,0, 3000,0, 5000,0,10,0,5,5,5,5,NA,Warriors,away,Pelicans,-11.0,222.5
